1;"en";"English";;0;"USD"
2;"en_US";"English (US)";1;0;"USD"
3;"en_UK";"English (UK)";1;0;"GBP"
4;"fr";"French";;0;"EUR"
5;"nl";"Dutch";;0;"EUR"
6;"de";"German";;0;"EUR"
7;"fr_CM";"French Cameroon";;0;"XAF"
9;"en_CA";"English Canada";;0;"CAD"
